"CIUDAD","ANIO","ENTRADAS","TRANSPORTE","ID"
"Quito",2011,485913,"AEREO",1
"Guayaquil",2011,287105,"AEREO",2
"Tulcán",2011,0,"AEREO",3
"Manta",2011,263,"AEREO",4
"Esmeraldas",2011,9266,"AEREO",5
"Latacunga",2011,8,"AEREO",6
"Guayaquil",2011,14304,"MARITIMO",7
"Machala (Pto. Bolívar)",2011,323,"MARITIMO",8
"Esmeraldas",2011,426,"MARITIMO",9
"Salinas",2011,193,"MARITIMO",10
"Manta",2011,4203,"MARITIMO",11
"San Lorenzo",2011,139,"MARITIMO",12
"San Cristóbal",2011,16,"MARITIMO",13
"Santa Cruz",2011,190,"MARITIMO",14
"Tulcán",2011,167614,"TERRESTRE",15
"Huaquillas (El Oro)",2011,147287,"TERRESTRE",16
"Macará",2011,14504,"TERRESTRE",17
"Lago Agrio (Sucumbios)",2011,7266,"TERRESTRE",18
"Nuevo Rocafuerte",2011,54,"TERRESTRE",19
"La Balsa (Chinchipe)",2011,712,"TERRESTRE",20
"Puerto del Carmen",2011,0,"TERRESTRE",21
"Puyango",2011,0,"TERRESTRE",22
"Espindola",2011,0,"TERRESTRE",23
"Tufiño",2011,0,"TERRESTRE",24
"Quito",2012,540086,"AEREO",25
"Guayaquil",2012,299211,"AEREO",26
"Tulcán",2012,0,"AEREO",27
"Manta",2012,477,"AEREO",28
"Esmeraldas",2012,836,"AEREO",29
"Latacunga",2012,202,"AEREO",30
"Guayaquil",2012,17345,"MARITIMO",31
"Machala (Pto. Bolívar)",2012,267,"MARITIMO",32
"Esmeraldas",2012,465,"MARITIMO",33
"Salinas",2012,288,"MARITIMO",34
"Manta",2012,5421,"MARITIMO",35
"San Lorenzo",2012,2023,"MARITIMO",36
"San Cristóbal",2012,663,"MARITIMO",37
"Santa Cruz",2012,681,"MARITIMO",38
"Tulcán",2012,228061,"TERRESTRE",39
"Huaquillas (El Oro)",2012,143982,"TERRESTRE",40
"Macará",2012,13179,"TERRESTRE",41
"Lago Agrio (Sucumbios)",2012,11176,"TERRESTRE",42
"Nuevo Rocafuerte",2012,1,"TERRESTRE",43
"La Balsa (Chinchipe)",2012,7,"TERRESTRE",44
"Puerto del Carmen",2012,6,"TERRESTRE",45
"Puyango",2012,0,"TERRESTRE",46
"Espindola",2012,0,"TERRESTRE",47
"Tufiño",2012,0,"TERRESTRE",48
"Quito",2013,632926,"AEREO",49
"Guayaquil",2013,317512,"AEREO",50
"Tulcán",2013,0,"AEREO",51
"Manta",2013,626,"AEREO",52
"Esmeraldas",2013,714,"AEREO",53
"Latacunga",2013,1046,"AEREO",54
"Guayaquil",2013,2302,"MARITIMO",55
"Machala (Pto. Bolívar)",2013,1363,"MARITIMO",56
"Esmeraldas",2013,474,"MARITIMO",57
"Salinas",2013,509,"MARITIMO",58
"Manta",2013,4238,"MARITIMO",59
"San Lorenzo",2013,2688,"MARITIMO",60
"San Cristóbal",2013,0,"MARITIMO",61
"Santa Cruz",2013,0,"MARITIMO",62
"Tulcán",2013,21063,"TERRESTRE",63
"Huaquillas (El Oro)",2013,156741,"TERRESTRE",64
"Macará",2013,11568,"TERRESTRE",65
"Lago Agrio (Sucumbios)",2013,14281,"TERRESTRE",66
"Nuevo Rocafuerte",2013,5,"TERRESTRE",67
"La Balsa (Chinchipe)",2013,8,"TERRESTRE",68
"Puerto del Carmen",2013,0,"TERRESTRE",69
"Puyango",2013,0,"TERRESTRE",70
"Espindola",2013,0,"TERRESTRE",71
"Tufiño",2013,0,"TERRESTRE",72
"Quito",2014,70532,"AEREO",73
"Guayaquil",2014,319454,"AEREO",74
"Tulcán",2014,0,"AEREO",75
"Manta",2014,7712,"AEREO",76
"Esmeraldas",2014,7427,"AEREO",77
"Latacunga",2014,856,"AEREO",78
"Guayaquil",2014,26107,"MARITIMO",79
"Machala (Pto. Bolívar)",2014,3366,"MARITIMO",80
"Esmeraldas",2014,10608,"MARITIMO",81
"Salinas",2014,3491,"MARITIMO",82
"Manta",2014,17301,"MARITIMO",83
"San Lorenzo",2014,3388,"MARITIMO",84
"San Cristóbal",2014,68,"MARITIMO",85
"Santa Cruz",2014,165,"MARITIMO",86
"Tulcán",2014,239456,"TERRESTRE",87
"Huaquillas (El Oro)",2014,18002,"TERRESTRE",88
"Macará",2014,15721,"TERRESTRE",89
"Lago Agrio (Sucumbios)",2014,16426,"TERRESTRE",90
"Nuevo Rocafuerte",2014,2,"TERRESTRE",91
"La Balsa (Chinchipe)",2014,64,"TERRESTRE",92
"Puerto del Carmen",2014,15,"TERRESTRE",93
"Puyango",2014,0,"TERRESTRE",94
"Espindola",2014,0,"TERRESTRE",95
"Tufiño",2014,24,"TERRESTRE",96
"Quito",2015,70159,"AEREO",97
"Guayaquil",2015,293752,"AEREO",98
"Tulcán",2015,0,"AEREO",99
"Manta",2015,25424,"AEREO",100
"Esmeraldas",2015,5839,"AEREO",101
"Latacunga",2015,557,"AEREO",102
"Guayaquil",2015,29516,"MARITIMO",103
"Machala (Pto. Bolívar)",2015,4416,"MARITIMO",104
"Esmeraldas",2015,1133,"MARITIMO",105
"Salinas",2015,3386,"MARITIMO",106
"Manta",2015,11565,"MARITIMO",107
"San Lorenzo",2015,3591,"MARITIMO",108
"San Cristóbal",2015,781,"MARITIMO",109
"Santa Cruz",2015,382,"MARITIMO",110
"Tulcán",2015,235664,"TERRESTRE",111
"Huaquillas (El Oro)",2015,181878,"TERRESTRE",112
"Macará",2015,14465,"TERRESTRE",113
"Lago Agrio (Sucumbios)",2015,17083,"TERRESTRE",114
"Nuevo Rocafuerte",2015,107,"TERRESTRE",115
"La Balsa (Chinchipe)",2015,977,"TERRESTRE",116
"Puerto del Carmen",2015,15,"TERRESTRE",117
"Puyango",2015,1039,"TERRESTRE",118
"Espindola",2015,582,"TERRESTRE",119
"Tufiño",2015,524,"TERRESTRE",120
